,player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
0,Precious Achiuwa,achiupr01,2022,PO,TOR,320,167,-3.306502059002791,-1.376050984009087,-4.682553043011879,1.739952658396864,0.4067562148555189,2.146708873252383,-2.457917777553327,-1.001513413203573,-3.4594311907569,-0.0620954281600095,0.0,-0.0620954281600095,-3.175964484460513,-0.7248100778711877,-3.900774562331701,-0.385552701866951
1,Precious Achiuwa,achiupr01,2022,RS,TOR,3482,1725,-2.434544416220817,2.034193750354013,-0.4003506658668035,-1.994005945125162,3.34648882734203,1.352482882216868,-2.508828627936783,2.416627434312083,-0.0922011936246996,2.321273341661233,2.321273341661233,0.0,-2.340092084557549,2.264985249057702,-0.0751068354998474,-0.7627930917907704
2,Steven Adams,adamsst01,2022,PO,MEM,136,63,-3.313334279039401,-5.31634769123125,-8.629681970270651,-1.15365058932953,-9.550209700686008,-10.70386029001554,-3.097460100617988,-6.603187721377595,-9.700647821995585,-0.23147391362191,0.0,-0.23147391362191,-3.81256328911784,-6.584739657128416,-10.39730294624626,0.4474696466037495
3,Steven Adams,adamsst01,2022,RS,MEM,4147,1999,0.4709373620984662,1.530726787140677,2.001664149239144,6.286506633105384,-2.946931411746944,3.33957522135844,1.684192368494544,0.6532166492161151,2.337409017710659,5.175242774955666,5.175242774955666,0.0,1.435260968326427,1.810329076027362,3.245590044353789,-0.2573754537326889
4,Bam Adebayo,adebaba01,2022,PO,MIA,564,291,-0.7898695770092665,2.871328614630354,2.081459037621087,6.766211569994944,1.280644702937415,8.04685627293236,0.7053603207550965,2.614959182741849,3.320319503496945,0.9152695737435838,0.0,0.9152695737435838,-2.061207710626256,3.336120189726025,1.27491247909977,-1.496460718649434
5,Bam Adebayo,adebaba01,2022,RS,MIA,3696,1825,-0.4419479525806178,3.777163446890976,3.335215494310358,0.7105903750912734,4.170209937745425,4.880800312836699,-0.2509532597138761,4.04910230537187,3.798149045657993,6.118754736151239,6.118754736151239,0.0,0.3620568604910178,3.4493906620631,3.811447522554118,0.3555072328636694
6,Santi Aldama,aldamsa01,2022,RS,MEM,763,360,-2.581557096366347,-2.401016501383512,-4.982573597749859,-2.723676545967447,1.182793042031219,-1.540883503936228,-2.811130212549546,-1.845336252380711,-4.656466464930258,-0.3514233828335682,-0.3514233828335682,0.0,-1.630638471592298,-2.258994092590207,-3.889632564182505,0.3595197091303129
7,LaMarcus Aldridge,aldrila01,2022,RS,BRK,2205,1050,-0.5003885528559427,2.350641035489261,1.850252482633318,1.092337982956623,-0.4463114756152353,0.646026507341388,-0.2281010241078887,1.923712927143284,1.695611903035395,2.37617107139418,2.37617107139418,0.0,0.3067624680725053,0.925625975032595,1.2323884431051,-0.2262314892411401
8,Nickeil Alexander-Walker,alexani01,2022,PO,UTA,12,5,25.66231065494011,9.392062214930965,35.05437286987107,3.739678141057099,11.63669604489835,15.37637418595545,22.74296607378203,10.49854220849094,33.24150828227297,0.0961507119142369,0.0,0.0961507119142369,16.51424887876976,9.285187742156028,25.79943662092579,1.502679740559279
9,Nickeil Alexander-Walker,alexani01,2022,RS,NOP,2717,1317,-1.512514792030828,-1.543961013406413,-3.05647580543724,-2.675708474327044,-1.183054421453703,-3.858762895780747,-1.830825023243907,-1.548573327350614,-3.379398350594521,-0.4258507409300554,-0.4258507409300554,0.0,-0.6639176954589933,-1.52673650926262,-2.190654204721613,0.6944799977065169
10,Nickeil Alexander-Walker,alexani01,2022,RS,UTA,308,149,-2.32403301907529,1.290601263191351,-1.033431755883939,-0.0390812018683307,0.5703622619061823,0.5312810600378516,-2.076624104282708,1.169021156666331,-0.9076029476163768,0.1408866562755235,0.1408866562755235,0.0,-1.786106570161933,0.112493547025756,-1.673613023136177,0.5911984501729628
11,Grayson Allen,allengr01,2022,PO,MIL,493,232,1.12296965706502,3.075991209115103,4.198960866180123,-2.751339237446651,-2.033651886723058,-4.784991124169709,0.4256820246769379,2.033210149700869,2.458892174377807,0.6411477205582196,0.0,0.6411477205582196,-0.7957222919311555,1.980271553774071,1.184549261842915,0.8069726896247246
12,Grayson Allen,allengr01,2022,RS,MIL,3824,1805,0.5737565543611727,-0.536328861412978,0.0374276929481947,-0.0123081565248039,1.842262498122343,1.829954341597539,0.4545555106430079,-0.0928215355539919,0.3617339750890159,2.86279474274783,2.86279474274783,0.0,0.388020022300057,-0.3419265298476175,0.0460934924524395,-0.0989445715567764
13,Jarrett Allen,allenja01,2022,RS,CLE,3667,1809,0.2062537913140012,4.281868177824317,4.488121969138319,0.024112488786343,2.342498530099456,2.366611018885799,0.1817701974036486,4.095602261715691,4.27737245911934,6.454760297956898,6.454760297956898,0.0,-0.0625904775420539,3.472990175016493,3.410399697474439,-0.4805274801732991
14,Jose Alvarado,alvarjo01,2022,PO,NOP,230,117,-0.5195271873390226,1.081313965391276,0.5617867780522539,-11.88519568155341,2.063606081265122,-9.821589600288284,-3.044303666769237,1.392095379873693,-1.652208286895545,0.0672957848490089,0.0,0.0672957848490089,-0.0560005880850798,2.460667872382736,2.404667284297656,-0.4193282957172602
